alpha,mmse,qw,q2
1.2,0.300693482658021,0.2993564444444444,0.7017267199999999
1.4,0.26059763983826634,0.36139733333333335,0.7382509985185185
0.2,0.8016554528242645,-0.0034026666666666676,0.20967793777777774
0.4,0.6245030557068982,0.0077866666666666666,0.36844847407407405
3.0,0.007307129563820431,0.9961724444444444,0.9926837807407408
0.6,0.49730422641878297,0.021896888888888896,0.5021277155555556
0.8,0.4097755782843069,0.11090311111111112,0.5907893333333334
1.0,0.3526640747809819,0.10980622222222221,0.6523606281481481
1.2,0.29049580258160995,0.3019982222222222,0.7040777007407406
1.4,0.26729781615759557,0.33579022222222216,0.7320146488888889
0.2,0.764974535131833,-0.012604444444444448,0.22238705777777773
0.4,0.6077194583675601,0.004117333333333333,0.3851547970370371
0.6,0.4996155733682498,0.03810488888888889,0.5079297422222221
0.8,0.4038597335955971,0.08867022222222222,0.5899398874074074
2.2,0.04379067728204581,0.9730062222222222,0.9561746014814816
1.0,0.33640276678529274,0.10080355555555555,0.6585348266666666
1.2,0.2977511959576,0.31179377777777784,0.7030089481481481
1.4,0.2643653956900542,0.3285297777777778,0.7341682251851853
2.4,0.0259090533873004,0.9852942222222222,0.9743084562962961
0.2,0.7945887828533159,0.0025084444444444447,0.21305920000000003
0.4,0.630673946076164,0.002472888888888889,0.36735770074074076
0.6,0.4829689649373179,0.020232888888888887,0.513104237037037
2.1,0.06298704680133885,0.9575484444444444,0.937726648888889
0.8,0.41323140871175484,0.12082844444444443,0.5902812444444444
1.0,0.3406433472224348,0.10198755555555555,0.6589118577777778
1.2,0.3097359762361497,0.27594133333333326,0.6920560118518521
2.6,0.014615875736999606,0.9919804444444444,0.9852005688888887
1.4,0.263291867905622,0.37509688888888887,0.735252148148148
0.2,0.792021206740955,0.0026737777777777784,0.2075105659259259
0.4,0.6185620449654201,-0.0014702222222222222,0.38181297777777784
0.6,0.4969075219717764,0.017471999999999998,0.500578228148148
0.8,0.41010417031669844,0.10120711111111111,0.5959813925925925
1.0,0.3471444636081222,0.12047822222222222,0.6494440059259259
2.8,0.008327113725575024,0.9956817777777778,0.9917598577777776
1.2,0.29759943369768643,0.259616,0.7014946607407407
1.4,0.26409357955281015,0.3513777777777778,0.7360055940740741
0.2,0.7956386644757906,-0.010913777777777777,0.2039064414814815
0.4,0.6149845713709927,0.016723555555555554,0.3909990162962962
0.6,0.5128257738372276,0.011831111111111112,0.4943541807407407
0.8,0.4005349904955457,0.10262577777777775,0.5938758874074074
1.0,0.35011342384765615,0.09668977777777778,0.6473449244444446
3.0,0.01007007406537033,0.9946257777777775,0.989947045925926
1.2,0.30506304181917554,0.2912995555555556,0.699423431111111
1.4,0.25794495351389823,0.34900088888888886,0.7398505481481482
0.2,0.7844106137670143,-1.2444444444444379e-05,0.2090825718518519
0.4,0.617258603158568,0.006255999999999999,0.37755294814814816
0.6,0.4898181390307845,0.030112,0.5083480177777777
0.8,0.40224158338591165,0.10292977777777775,0.5937628444444445
1.0,0.34758512295223626,0.11406577777777778,0.654944805925926
1.2,0.29397547808232527,0.31369422222222226,0.7049709274074074
2.2,0.048665662978751516,0.9689137777777778,0.9506092562962967
1.4,0.26754757191223627,0.3231928888888889,0.7359916088888889
0.2,0.7997893209219897,0.007324444444444443,0.20879810370370364
0.4,0.6145490653495183,-9.955555555555565e-05,0.39196904296296303
0.6,0.49717455673376726,-0.0011857777777777778,0.5017488355555555
0.8,0.40161809043424385,0.09975644444444443,0.5939432533333333
2.4,0.026976718311384457,0.9845902222222223,0.9730750577777778
1.0,0.3436884932198599,0.09435022222222225,0.6566161540740741
2.1,0.1332370049336932,0.8682044444444443,0.8657031822222223
1.2,0.2981020532437318,0.3097297777777778,0.7047889777777777
1.4,0.27035081216127593,0.32169244444444445,0.732059117037037
2.6,0.018845892600931544,0.9896693333333333,0.9815329422222221
2.8,0.011567681573922899,0.9935591111111112,0.9883183644444444
3.0,0.008057445014820638,0.9958364444444444,0.9919289837037037
2.2,0.061020448646825126,0.9587235555555556,0.9381721125925927
2.4,0.033632989191696654,0.9799964444444442,0.9667719585185186
2.6,0.01938350418267131,0.9891004444444446,0.98074816
2.8,0.01147731334500414,0.9938382222222222,0.9885779911111111
3.0,0.007569635368984568,0.9959306666666669,0.9923771022222222
2.2,0.05424377682041238,0.9663182222222221,0.9467592059259262
2.4,0.026842930360662574,0.9846631111111109,0.973251342222222
2.6,0.017748836222155964,0.9902382222222224,0.9823000414814816
2.8,0.011664083138307841,0.9934844444444445,0.988229048888889
3.0,0.007990365732719548,0.9958453333333331,0.9920450607407411
2.2,0.06621031207757942,0.9547057777777779,0.9333688888888889
2.4,0.02764344192552105,0.9842240000000001,0.9723431822222222
2.6,0.019918517934420874,0.9888426666666666,0.9800458903703704
2.8,0.01104654279832009,0.9940675555555555,0.9889366044444443
3.0,0.007899334355353059,0.9958044444444443,0.9920520059259259
